Date,Close/Last,Volume,Open,High,Low
12/26/2021,548.21,N/A,538.87,549.5,544.1
12/25/2021,539.9,N/A,541.99,547.42,536.39
12/24/2021,542.9,N/A,545.01,546.49,539.67
12/23/2021,544.53,N/A,533.89,550.3,543.92
12/22/2021,532,N/A,533.41,537.12,528.82
12/21/2021,534.39,N/A,527.8,535.32,527.4
12/20/2021,529.71,N/A,528.2,532.21,517.51
12/19/2021,535.43,N/A,534.2,544.21,529.11
12/18/2021,542.31,N/A,526.5,544.21,529.11
12/17/2021,526.5,N/A,531.51,528.9,516.7
12/16/2021,533.5,N/A,531.19,533.71,524.39
12/15/2021,531.71,N/A,530.03,544.49,530.43
12/14/2021,529.66,N/A,527.5,531.71,524.12
12/13/2021,526.7,N/A,559.9,528.11,517.31
12/12/2021,559.6,N/A,560,572.11,554.52
12/11/2021,560.12,N/A,567.9,566.91,559.51
12/10/2021,566.61,N/A,576.64,567.27,546.72
12/09/2021,577.41,N/A,605.32,582.63,569.9
12/08/2021,604.57,N/A,572.09,616.24,600.01
12/07/2021,571.81,N/A,588.11,579.49,567.51
12/06/2021,587.5,N/A,554.1,593.41,582.3
12/05/2021,555.09,N/A,562.5,560.11,536.91
12/04/2021,563,N/A,608.06,595.9,495.12
12/03/2021,556.99,N/A,615.9,595.9,556.99
12/02/2021,615.11,N/A,616.51,620.41,609.79
12/01/2021,616.5,N/A,630.89,628.69,605.61
11/30/2021,629.82,N/A,617.31,635.6,620.89
11/29/2021,616.41,N/A,607.71,634.01,614.26
11/28/2021,608.9,N/A,577.18,618.59,601.99
11/27/2021,575.93,N/A,593.2,603.7,573.96
11/26/2021,593.89,N/A,618.62,595.3,584.3
11/25/2021,619.8,N/A,607.61,657.7,615.27
11/24/2021,607.78,N/A,582.7,613.91,587.72
11/23/2021,582.18,N/A,566.99,593.89,579.2
11/22/2021,567.7,N/A,566.82,568.9,558.3
11/21/2021,569.43,N/A,589.61,585.14,564.24
11/20/2021,589.5,N/A,582.49,604.91,588.92
11/19/2021,580.41,N/A,537.79,592.2,579.4
11/18/2021,535.53,N/A,572.99,541.8,524.7
11/17/2021,574.91,N/A,566.65,587.9,572.91
11/16/2021,563.72,N/A,611.01,592.5,563.67
11/15/2021,611.7,N/A,651.82,634.51,599.01
